180 298 1 6
90 1
1 2 1
2 3 1
3 4 1
4 5 1
5 6 1
6 7 1
7 8 1
8 9 1
9 10 1
10 11 1
11 12 1
12 13 1
13 14 1
14 15 1
15 16 1
16 17 1
17 18 1
18 19 1
19 20 1
20 21 1
21 22 1
22 23 1
23 24 1
24 25 1
25 26 1
26 27 1
27 28 1
28 29 1
29 30 1
30 31 1
31 32 1
32 33 1
33 34 1
34 35 1
35 36 1
36 37 1
37 38 1
38 39 1
39 40 1
40 41 1
41 42 1
42 43 1
43 44 1
44 45 1
45 46 1
46 47 1
47 48 1
48 49 1
49 50 1
50 51 1
51 52 1
52 53 1
53 54 1
54 55 1
55 56 1
56 57 1
57 58 1
58 59 1
59 60 1
61 62 1
62 63 1
63 64 1
64 65 1
65 66 1
66 67 1
67 68 1
68 69 1
69 70 1
70 71 1
71 72 1
72 73 1
73 74 1
74 75 1
75 76 1
76 77 1
77 78 1
78 79 1
79 80 1
80 81 1
81 82 1
82 83 1
83 84 1
84 85 1
85 86 1
86 87 1
87 88 1
88 89 1
89 90 1
90 91 1
91 92 1
92 93 1
93 94 1
94 95 1
95 96 1
96 97 1
97 98 1
98 99 1
99 100 1
100 101 1
101 102 1
102 103 1
103 104 1
104 105 1
105 106 1
106 107 1
107 108 1
108 109 1
109 110 1
110 111 1
111 112 1
112 113 1
113 114 1
114 115 1
115 116 1
116 117 1
117 118 1
118 119 1
119 120 1
121 122 1
122 123 1
123 124 1
124 125 1
125 126 1
126 127 1
127 128 1
128 129 1
129 130 1
130 131 1
131 132 1
132 133 1
133 134 1
134 135 1
135 136 1
136 137 1
137 138 1
138 139 1
139 140 1
140 141 1
141 142 1
142 143 1
143 144 1
144 145 1
145 146 1
146 147 1
147 148 1
148 149 1
149 150 1
150 151 1
151 152 1
152 153 1
153 154 1
154 155 1
155 156 1
156 157 1
157 158 1
158 159 1
159 160 1
160 161 1
161 162 1
162 163 1
163 164 1
164 165 1
165 166 1
166 167 1
167 168 1
168 169 1
169 170 1
170 171 1
171 172 1
172 173 1
173 174 1
174 175 1
175 176 1
176 177 1
177 178 1
178 179 1
179 180 1
1 61 1
2 62 1
3 63 1
4 64 1
5 65 1
6 66 1
7 67 1
8 68 1
9 69 1
10 70 1
11 71 1
12 72 1
13 73 1
14 74 1
15 75 1
16 76 1
17 77 1
18 78 1
19 79 1
20 80 1
21 81 1
22 82 1
23 83 1
24 84 1
25 85 1
26 86 1
27 87 1
28 88 1
29 89 1
30 90 1
31 91 1
32 92 1
33 93 1
34 94 1
35 95 1
36 96 1
37 97 1
38 98 1
39 99 1
40 100 1
41 101 1
42 102 1
43 103 1
44 104 1
45 105 1
46 106 1
47 107 1
48 108 1
49 109 1
50 110 1
51 111 1
52 112 1
53 113 1
54 114 1
55 115 1
56 116 1
57 117 1
58 118 1
59 119 1
60 120 1
61 121 1
62 122 1
63 123 1
64 124 1
65 125 1
66 126 1
67 127 1
68 128 1
69 129 1
70 130 1
71 131 1
72 132 1
73 133 1
74 134 1
75 135 1
76 136 1
77 137 1
78 138 1
79 139 1
80 140 1
81 141 1
82 142 1
83 143 1
84 144 1
85 145 1
86 146 1
87 147 1
88 148 1
89 149 1
90 150 1
91 151 1
92 152 1
93 153 1
94 154 1
95 155 1
96 156 1
97 157 1
98 158 1
99 159 1
100 160 1
101 161 1
102 162 1
103 163 1
104 164 1
105 165 1
106 166 1
107 167 1
108 168 1
109 169 1
110 170 1
111 171 1
112 172 1
113 173 1
114 174 1
115 175 1
116 176 1
117 177 1
118 178 1
119 179 1
120 180 1
91 0 0
90 150
90 30
90 89
91 151
91 31
91 92
